stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
294,7860,"Humber College Blvd at Humberline Dr",,43.732115,-79.608890,,,,,,1
295,4763,"Airport Rd at Northwest Dr",,43.698901,-79.635642,,,,,,2
296,59,"Avenue Rd at Dunblaine Ave",,43.735846,-79.419950,,,,,,1
297,7055,"Runnymede Rd at Deforest Rd",,43.648653,-79.475200,,,,,,2
298,9506,"715 Finch Ave West",,43.769727,-79.462373,,,,,,1
300,6839,"Queen St West at Brock Ave",,43.641545,-79.432245,,,,,,1
301,1647,"William R Allen Rd at Sheppard Ave West South Side",,43.749635,-79.463343,,,,,,1
302,4260,"Kingston Rd at Sandown Ave",,43.708580,-79.249674,,,,,,1
303,6317,"Commissioners St at Logan Ave",,43.651835,-79.337506,,,,,,2
304,8481,"Victoria Park Ave at Meadowacres Dr",,43.771798,-79.321251,,,,,,1
305,1919,"Don Mills Rd at Deerford Rd",,43.785281,-79.350570,,,,,,1
306,9503,"Lawrence Ave East at Markham Rd",,43.759631,-79.225553,,,,,,1
307,6024,"Rogers Rd at Gilbert Ave",,43.683445,-79.459325,,,,,,2
308,1825,"285 Cummer Ave - St John's Rehab Hospital",,43.789637,-79.405129,,,,,,2
309,9250,"Thirtieth St at Elder Ave",,43.597919,-79.530991,,,,,,2
310,5638,"Martin Grove Rd at Rexdale Blvd South Side",,43.713568,-79.581134,,,,,,1
311,1111,"Gerrard St East at University Ave",,43.657731,-79.388929,,,,,,1
312,3652,"Glencairn Ave at Englemount Ave",,43.710646,-79.435733,,,,,,1
313,90,"Bathurst St at Bainbridge Ave",,43.750910,-79.437474,,,,,,1
314,1098,"Gerrard St East at Marjory Ave",,43.668684,-79.337632,,,,,,2
315,1062,"Fleet St at Strachan Ave",,43.636172,-79.410145,,,,,,1
316,11078,"Carrier Dr at Dansk Crt South Side",,43.743515,-79.614710,,,,,,2
317,3623,"Finch Ave West at Wilmington Ave",,43.770363,-79.460650,,,,,,1
318,4073,"Kennedy Rd at Brigstock Rd",,43.761387,-79.279261,,,,,,1
319,4947,"Danforth Rd at Hart Ave",,43.718747,-79.258628,,,,,,1
320,2948,"Morningside Ave at Morningview Trail",,43.813343,-79.206063,,,,,,1
321,4726,"123 Wynford Dr",,43.726923,-79.329142,,,,,,1
322,2633,"Opposite 1685 Finch Ave West - St Wilfreds School",,43.760411,-79.503238,,,,,,1
323,2517,"Finch Ave East at Kenneth Ave",,43.780577,-79.412214,,,,,,1
324,7023,"Royal York Rd at The Queensway",,43.626498,-79.502780,,,,,,1
325,1482,"Rathburn Rd at Islington Ave West Side",,43.662364,-79.531737,,,,,,1
326,310,"Bayview Ave at Opposite Garnier Park",,43.800927,-79.395689,,,,,,1
327,5019,"Dundas St West at Nottingham Dr",,43.655267,-79.522723,,,,,,2
328,10863,"6807 Steeles Ave West",,43.756036,-79.611033,,,,,,1
329,6963,"Opposite 400 Rockcliffe Blvd - Rockcliffe Middle School",,43.674739,-79.488356,,,,,,1
330,4510,"Old Weston Rd at Turnberry Ave",,43.678250,-79.464630,,,,,,1
331,7911,"Laurentide Dr at Barnwood Crt East Side",,43.753092,-79.338740,,,,,,1
332,268,"Bay St at Wellesley St West",,43.664253,-79.386996,,,,,,1
333,4109,"Kennedy Rd at Cowdray Crt",,43.780431,-79.286698,,,,,,1
334,9130,"Finch Ave West at Yonge St West Side",,43.779728,-79.416164,,,,,,1
335,1906,"Denton Ave at St Dunstan Dr",,43.693583,-79.285951,,,,,,1
336,7290,"Sheppard Ave West at Maxwell St",,43.754151,-79.445628,,,,,,2
337,9810,"McCowan Rd at Alton Towers Cir (North)",,43.827020,-79.276064,,,,,,1
338,976,"Donlands Ave at Torrens Ave",,43.692850,-79.342456,,,,,,1
339,1535,"Sheppard Ave East at Doris Ave",,43.762274,-79.408102,,,,,,1
340,7007,"800 Royal York Rd",,43.639220,-79.508702,,,,,,1
341,5330,"Lawrence Ave East at Warden Ave",,43.745187,-79.295013,,,,,,1
342,13473,"Humberline Dr at Viewcrest Cir",,43.732276,-79.617211,,,,,,1
343,45,"Avenue Rd at Balmoral Ave North Side",,43.684707,-79.400532,,,,,,1
344,6133,"St Clair Ave East at Westview Blvd",,43.706133,-79.310074,,,,,,2
345,6057,"2002-2012 Sheppard Ave West",,43.738711,-79.516709,,,,,,1
346,11292,"FINCH AVE WEST AT HIGHWAY 27",,43.733880,-79.603867,,,,,,1
347,4382,"Kipling Ave at Tyre Ave",,43.645010,-79.536573,,,,,,2
348,5569,"Markham Rd at Lawrence Ave East",,43.759679,-79.225072,,,,,,1
350,5478,"Leslie St at Southwell Dr North Side",,43.746257,-79.358382,,,,,,2
352,3482,"Opposite 111 Disco Rd",,43.700349,-79.599302,,,,,,1
353,2919,"Midland Ave at Wilkie Ave",,43.715520,-79.250145,,,,,,1
355,9158,"Leslie St at Ballyronan Rd",,43.749395,-79.359037,,,,,,1
356,9102,"Opposite 25 Kodiak Cres",,43.754066,-79.466220,,,,,,1
358,4924,"Culford Rd at George Anderson Dr",,43.703148,-79.486494,,,,,,2
360,14245,"Warden Ave at Glenbourne Park Dr",,43.882273,-79.340630,,,,,,1
361,2495,"Finch Ave East at Bridletowne Circle (East)",,43.797673,-79.312116,,,,,,1
362,7409,"Varna Dr at Rondale Blvd North Side",,43.721389,-79.440968,,,,,,1
363,617,"Brimley Rd at Arnprior Rd South Side",,43.751152,-79.254486,,,,,,1
364,10524,"Ellesmere Rd at Zaph Ave",,43.791840,-79.166565,,,,,,2
365,13684,"185 Yorkland Blvd",,43.771262,-79.335442,,,,,,1
